scheme_name,scheme_slug,department,level,state_name,min_age,max_age,gender,max_income,is_student_only,target_occupations,allowed_categories,description,eligibility_text,benefits,application_url
"PM Kisan Samman Nidhi","pm-kisan-samman-nidhi","Ministry of Agriculture & Farmers Welfare","Central","All India",18,75,"All",300000,false,"Farmer","All","Financial support of Rs 6000 per year to small and marginal farmer families across India.","Landholding small & marginal farmers aged 18 to 75 with annual household income up to 3 Lakhs.","Rs 6000 per year paid in 3 equal installments of Rs 2000 directly to bank accounts.","https://pmkisan.gov.in"
"PM Awas Yojana (Urban)","pm-awas-yojana-urban","Ministry of Housing and Urban Affairs","Central","All India",21,70,"All",600000,false,"All","All","Housing scheme to provide pucca houses to eligible urban households with interest subsidies.","Urban citizens aged 21-70 with annual family income up to 6 Lakhs.","Interest subsidy up to 6.5% on housing loans up to Rs 2.67 Lakhs.","https://pmaymis.gov.in"
"PM MUDRA Yojana","pm-mudra-yojana","Ministry of Finance","Central","All India",18,65,"All",1000000,false,"Artisan;Unemployed;Self Employed;All","All","Collateral-free micro loans up to Rs 10 Lakhs for non-corporate micro enterprises.","Non-corporate non-farm small micro enterprises owned by Indian citizens aged 18-65.","Loans under Shishu (up to 50k) Kishor (up to 5L) and Tarun (up to 10L).","https://www.mudra.org.in"
"Post-Matric Scholarship for SC Students","post-matric-scholarship-sc","Ministry of Social Justice and Empowerment","Central","All India",15,30,"All",250000,true,"Student;All","SC","Financial assistance to Scheduled Caste students studying at post-matriculation or post-secondary stage.","SC category students enrolled in post-matric courses with family income below 2.5 Lakhs.","Full tuition fee coverage plus monthly maintenance allowance up to Rs 1350/month.","https://scholarships.gov.in"
"Sukanya Samriddhi Yojana","sukanya-samriddhi-yojana","Ministry of Women and Child Development","Central","All India",0,10,"Female",500000,false,"All","All","Small savings scheme targeted at parents of girl children to build corpus for education and marriage.","Girl children below 10 years of age resident in India.","High interest rate of 8.2% p.a. with tax exemption under Section 80C.","https://www.indiapost.gov.in"
"Ladli Behna Yojana (Madhya Pradesh)","ladli-behna-yojana-mp","Department of Women and Child Development MP","State","Madhya Pradesh",21,60,"Female",250000,false,"Unemployed;Homemaker;All","All","Monthly financial assistance to women in Madhya Pradesh to foster economic independence.","Married/widowed women in MP aged 21-60 with annual family income up to 2.5 Lakhs.","Rs 1250 directly transferred to beneficiary bank account every month.","https://cmladlibehna.mp.gov.in"
"Kanyashree Prakalpa (West Bengal)","kanyashree-prakalpa-wb","Department of Women Development & Social Welfare WB","State","West Bengal",13,19,"Female",120000,true,"Student;All","All","Conditional cash transfer scheme to improve status of adolescent girls and encourage education.","Unmarried girls aged 13-19 studying in recognized institutions with income up to 1.2 Lakhs.","Annual grant of Rs 1000 plus one-time grant of Rs 25,000 on reaching 18 years.","https://wbkanyashree.gov.in"
"Rythu Bandhu Scheme (Telangana)","rythu-bandhu-telangana","Agriculture Department Telangana","State","Telangana",18,80,"All",500000,false,"Farmer","All","Investment support scheme for agriculture and horticulture crops per season.","Farmer landowners in Telangana owning agricultural land.","Rs 10000 per acre per year for two crop seasons.","https://rythubandhu.telangana.gov.in"
"Majhi Kanya Bhagyashree (Maharashtra)","majhi-kanya-bhagyashree-mh","Women and Child Development Department MH","State","Maharashtra",0,18,"Female",750000,false,"All","All","Financial support for the health and education of girl child in Maharashtra.","Girl child born in Maharashtra family with annual income up to 7.5 Lakhs.","Rs 50000 deposited in bank account in the name of girl child.","https://womenchild.maharashtra.gov.in"
"Kalaignar Magalir Urimai Thittam (Tamil Nadu)","kalaignar-magalir-urimai-tn","Department of Social Welfare TN","State","Tamil Nadu",21,65,"Female",250000,false,"Homemaker;Unemployed;All","All","Rights grant for women heads of households in Tamil Nadu.","Women household heads aged 21-65 in Tamil Nadu with family income below 2.5 Lakhs.","Rs 1000 per month direct benefit transfer.","https://tn.gov.in"
